var1,var2,r,pvalue,rsq
bige6r,bige6,-1,0,1
bige6,bige6r,-1,0,1
bigc8r,bigc8,-1,0,1
bigc8,bigc8r,-1,0,1
bigc18r,bigc18,-1,0,1
bigc18,bigc18r,-1,0,1
bign24r,bign24,-1,0,1
bign24,bign24r,-1,0,1
biga27r,biga27,-1,0,1
biga27,biga27r,-1,0,1
bige31r,bige31,-1,0,1
bige31,bige31r,-1,0,1
bign34r,bign34,-1,0,1
bign34,bign34r,-1,0,1
bigc43r,bigc43,-1,0,1
bigc43,bigc43r,-1,0,1
BACK18,BACK1,1,0,1
BACK19,BACK15,1,0,1
BACK1,BACK18,1,0,1
BACK15,BACK19,1,0,1
ql2r,QL2,-1,0,1
QL2,ql2r,-1,0,1
N222,QL5,1,0,1
ql16r,QL16,-1,0,1
QL16,ql16r,-1,0,1
ql18r,QL18,-1,0,1
QL18,ql18r,-1,0,1
anxiety4r,anxiety4,-1,0,1
anxiety4,anxiety4r,-1,0,1
anxiety5r,anxiety5,-1,0,1
anxiety5,anxiety5r,-1,0,1
anxiety9r,anxiety9,-1,0,1
anxiety9,anxiety9r,-1,0,1
driving habites J,driving habites I,1,0,1
MOCA ATTENTION MATH,driving habites I,-1,0,1
driving habites I,driving habites J,1,0,1
QL5,N222,1,0,1
DHGO 320,N220,1,0,1
N220,DHGO 320,1,0,1
driving habites I,MOCA ATTENTION MATH,-1,0,1
N214,BACK12,-1,0,1
MOCA ATTENTION MATH,driving habites J,-1,0,1
BACK12,N214,-1,0,1
driving habites J,MOCA ATTENTION MATH,-1,0,1
MOCA ATTENTION NUMBERS,BACK10,-1,0,1
BACK10,MOCA ATTENTION NUMBERS,-1,0,1
ql17r,QL17,-1,0,1
QL17,ql17r,-1,0,1
N215,BACK2,-1,0,1
BACK2,N215,-1,0,1
driving habites D,BACK11,0.999979822,0,0.999959645
driving habites D,driving habites C,0.999979822,0,0.999959645
BACK11,driving habites D,0.999979822,0,0.999959645
driving habites C,driving habites D,0.999979822,0,0.999959645
driving habites B,BACK11,0.999841007,0,0.99968204
