Date,Open,High,Low,Close,Adj Close,Volume
2015-04-30,6.600000,6.610000,6.370000,6.410000,6.410000,135600
2015-05-01,6.500000,6.540000,6.300000,6.540000,6.540000,138000
2015-05-04,6.580000,6.600000,6.370000,6.410000,6.410000,205600
2015-05-05,6.450000,6.670000,6.410000,6.540000,6.540000,282900
2015-05-06,6.560000,6.880000,6.500000,6.700000,6.700000,296100
2015-05-07,6.700000,6.730000,6.420000,6.540000,6.540000,196300
2015-05-08,6.610000,6.700000,6.480000,6.590000,6.590000,118200
2015-05-11,6.550000,6.640000,6.480000,6.490000,6.490000,95800
2015-05-12,6.500000,6.570000,6.430000,6.570000,6.570000,97300
2015-05-13,6.500000,6.620000,6.320000,6.380000,6.380000,161400
2015-05-14,6.330000,6.520000,6.330000,6.480000,6.480000,123100
2015-05-15,6.260000,6.570000,6.260000,6.450000,6.450000,76000
2015-05-18,6.470000,6.620000,6.460000,6.580000,6.580000,112900
2015-05-19,6.620000,6.670000,6.400000,6.480000,6.480000,110900
2015-05-20,6.410000,6.460000,6.340000,6.420000,6.420000,78700
2015-05-21,6.450000,6.500000,6.250000,6.300000,6.300000,87000
2015-05-22,6.350000,6.400000,6.290000,6.390000,6.390000,64700
2015-05-26,6.300000,6.350000,6.200000,6.320000,6.320000,71800
2015-05-27,6.310000,6.580000,6.100000,6.550000,6.550000,280500
2015-05-28,6.440000,6.960000,6.380000,6.870000,6.870000,282300
2015-05-29,6.920000,7.260000,6.810000,7.080000,7.080000,274800
2015-06-01,7.070000,7.240000,6.950000,7.060000,7.060000,202300
2015-06-02,7.030000,7.330000,7.000000,7.200000,7.200000,112000
2015-06-03,7.190000,7.640000,7.160000,7.500000,7.500000,247100
2015-06-04,7.450000,7.810000,7.440000,7.810000,7.810000,384600
2015-06-05,7.940000,7.960000,7.600000,7.800000,7.800000,341500
2015-06-08,7.970000,7.980000,7.580000,7.680000,7.680000,242400
2015-06-09,7.600000,7.620000,7.240000,7.300000,7.300000,355700
2015-06-10,7.260000,7.470000,7.160000,7.290000,7.290000,190900
2015-06-11,7.250000,7.470000,7.250000,7.370000,7.370000,118100
2015-06-12,7.350000,7.450000,7.250000,7.310000,7.310000,76900
2015-06-15,7.240000,7.340000,7.120000,7.260000,7.260000,126600
2015-06-16,7.270000,7.370000,7.220000,7.280000,7.280000,40100
2015-06-17,7.250000,7.380000,7.250000,7.370000,7.370000,65400
2015-06-18,7.470000,7.700000,7.430000,7.520000,7.520000,142800
2015-06-19,7.550000,7.550000,7.400000,7.540000,7.540000,155800
2015-06-22,7.580000,7.640000,7.450000,7.550000,7.550000,135900
